trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.1, 'e': 0.05930865682943872}",30,16,21.73932636989002,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.1, 'e': 0.057844320874838456}",30,21,17.241154672819015,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.1, 'e': 0.05641613950377735}",25,16,4.477107320372582,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.05502322005640721}",20,10,5.093810587176082,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.1, 'e': 0.05366469191273011}",20,6,22.0406891136923,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.05233970594843238}",25,0,-8.702569135622076,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
119,False,"{'a': 0.1, 'e': 0.051047434004154395}",20,0,32.50646686961635,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.049787068367863944}",20,15,5.574566678364181,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,26.045240570074235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,14,7.831148115348945,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,12,24.03357329480258,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,3,24.039227302553954,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,11,12.686058399355057,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,13,16.233188956095205,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,15,16.97378503050961,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,14,10.087141292452108,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,12,13.662477676967969,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,8,28.927278012573193,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",30,18,24.490519475631547,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,11,17.998498346765757,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",25,18,14.165580280252932,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",30,17,22.857788837087973,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",25,7,25.47588361564846,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",20,9,19.631459108280755,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",30,19,23.29527294186601,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",25,14,19.482930317186135,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,6,22.16340266616547,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",35,18,34.199171364145975,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
